id,source,title,label,image_path_primary,valid_image_path,mm_pred_label,mm_confidence,mm_correct
gossipcop-2656814899,gossipcop,Met Gala 2018: Madonna snacks while getting glammed up,fake,images\test\gossipcop-2656814899_0_43880667d2.jpg,True,real,0.983290433883667,False
gossipcop-921537,gossipcop,Selena Gomez Brings a Ukulele and a Bikini to Australia–but Not Justin Bieber,real,images\test\gossipcop-921537_0_1b2781c9c4.jpg,False,fake,0.9812512397766113,False
gossipcop-7259603960,gossipcop,Affordable Fashion & Style Blog,fake,images\test\gossipcop-7259603960_0_93d1ab95fe.jpg,False,real,0.9807563424110413,False
gossipcop-6345761457,gossipcop,Celebrities pay tribute to Mary Tyler Moore,fake,images\test\gossipcop-6345761457_0_afc03ef78c.jpg,True,real,0.9782092571258545,False
gossipcop-2932564057,gossipcop,"VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video",fake,images\test\gossipcop-2932564057_1_268df9607c.jpg,True,real,0.9778751134872437,False
gossipcop-8092575981,gossipcop,The Bachelorette: Becca 'Frustrated' That Tia Still Has Feelings for Colton,fake,images\test\gossipcop-8092575981_0_bd1e18b4f4.jpg,True,real,0.9762276411056519,False
gossipcop-9131837077,gossipcop,"Get a grip teenagers! You've got a few GCSEs not a role on Netflix, says LIZ JONES",fake,images\test\gossipcop-9131837077_0_3290bf4034.jpg,True,real,0.9736219644546509,False
gossipcop-3623255149,gossipcop,UPDATE: Steven Tyler Denies Seizure Reports,fake,images\test\gossipcop-3623255149_0_b995cf7bf3.jpg,True,real,0.9720459580421448,False
gossipcop-9093685718,gossipcop,Vito Schnabel Shares His Heartbreak Over Heidi Klum Split,fake,images\test\gossipcop-9093685718_0_8b12384eae.jpg,True,real,0.9643858671188354,False
gossipcop-952215,gossipcop,Blake Shelton Falls on Stage and It May Just Be Pitbull's Fault,real,,False,fake,0.9610108733177185,False
gossipcop-9737723367,gossipcop,Russell Crowe reveals he's lost 24 kgs after gaining weight for The Nice Guys role,fake,images\test\gossipcop-9737723367_0_753a3fbde1.jpg,True,real,0.9528312087059021,False
politifact15532,politifact,MEXICO’S NEXT PRESIDENT Calls for An Invasion Of The US….,fake,,False,real,0.9508299827575684,False
gossipcop-3054920479,gossipcop,"Is it true that Prince Charles would need to change his name if he ever became King of England, due to the misfortunes of previous King Charles''?",fake,,False,real,0.9424863457679749,False
gossipcop-8916783957,gossipcop,Serena Williams: John McEnroe believes she would struggle on men's circuit,fake,images\test\gossipcop-8916783957_0_887067904e.jpg,True,real,0.9404744505882263,False
gossipcop-7064865875,gossipcop,Irish actress Ruth Negga to see her Hollywood star status SOAR,fake,images\test\gossipcop-7064865875_0_196cfc059b.jpg,True,real,0.9330767393112183,False
gossipcop-9665725384,gossipcop,"Audrina Patridge Files for Divorce, Gets Restraining Order Against Husband (UPDATE)",fake,images\test\gossipcop-9665725384_0_e026cf162b.jpg,True,real,0.9316127300262451,False
gossipcop-6737488799,gossipcop,"9 Things to Know About Armie Hammer, the Hero Taking Over Hollywood",fake,images\test\gossipcop-6737488799_0_6dffb90e47.jpg,True,real,0.9229501485824585,False
gossipcop-994450447,gossipcop,J.Lo and A-Rod Have More In Common Than You Think,fake,images\test\gossipcop-994450447_0_e259ecffd9.jpg,True,real,0.9213818907737732,False
gossipcop-9412456850,gossipcop,Jessica Chastain Molly’s Game,fake,,False,real,0.9073647260665894,False
politifact14311,politifact,10 Things You Didn't Know About Nancy Pelosi,fake,,False,real,0.900119423866272,False
