group_id,counter_records,counter_unique_files,counter_unique_ids,split,id,source,label,title,image_path_lookup,pixel_hash
3,23,23,23,train,gossipcop-927680,gossipcop,real,'Roseanne': Johnny Galecki Returns With Big News,images\train\gossipcop-927680_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
6,14,14,14,train,gossipcop-1537867221,gossipcop,fake,"Bizarre behaviour, drug-taking and wandering round naked: Why Britney could lose her children",images\train\gossipcop-1537867221_0_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
1,33,33,33,train,gossipcop-889550,gossipcop,real,Anna Wintour Reveals Who She Would Never Invite Back to the Met Gala,images\train\gossipcop-889550_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
7,14,14,14,train,gossipcop-1169823957,gossipcop,fake,We ask Londoners about Prince Harry and Meghan Markle. Their responses may surprise you,images\train\gossipcop-1169823957_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
18,6,6,6,train,gossipcop-3108954033,gossipcop,fake,Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive),images\train\gossipcop-3108954033_0_5188f6bfd7.jpg,144f24a855ac78d963787859ca29e3960490e514e809206b009faae2b25b53ff
8,13,13,13,train,gossipcop-11452309,gossipcop,fake,Paula Abdul’s Injury Sparks Eating Disorder Relapse Worries!,images\train\gossipcop-11452309_0_7011549a48.jpg,24a381d1b38177a5d3b7d10fd3cc4fbd2110b51973f600548f55b8d1ee30280e
23,5,5,5,train,gossipcop-952906,gossipcop,real,David Spade recalls Kate Spade's beautiful spirit a month after her death,images\train\gossipcop-952906_0_fdaefb8ec4.jpg,2a890006076c9e125d76e4f86b48410512a0d8233d294a62161f7d9b6ebdbbbd
9,12,12,12,train,gossipcop-2111229547,gossipcop,fake,Why Debra Messing Was Nervous to Star in 'Searching',images\train\gossipcop-2111229547_0_86397e3565.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
1,33,33,33,train,gossipcop-896162,gossipcop,real,Stassi Schroeder Apologizes for Controversial #MeToo Comments,images\train\gossipcop-896162_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
13,8,8,8,train,gossipcop-4315795137,gossipcop,fake,'Good riddance': Celebrities react to the death of Charles Manson,images\train\gossipcop-4315795137_0_fd40f6272e.jpg,3a096c75f092796add8dd2d74062a9d6ed8aa7bc42ca1fbf1e197c30869d66b4
3,23,23,23,train,gossipcop-852750,gossipcop,real,"Caroline Manzo Speaks Out After Sister Dina’s Brutal Burglary, Wants Justice",images\train\gossipcop-852750_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
22,5,5,5,train,politifact13260,politifact,real,PolitiFact’s annotated transcript of the second presidential debate,images\train\politifact13260_0_d6ab0a9a22.jpg,220548327d54cd27e2d9d62c310c778b554258b237ee1b489b15158eec3cec18
17,7,7,7,train,gossipcop-903281,gossipcop,real,Stars Shine at the Palm Springs International Film Festival,images\train\gossipcop-903281_0_9f08517f68.jpg,99ad091260bef031fdaddb630f7aeb70911b466bcfe7e5061aa71ab1a64b4117
17,7,7,7,train,gossipcop-934384,gossipcop,real,Star Wars Fans Show Up for 'Solo' Red Carpet in Hollywood,images\train\gossipcop-934384_0_9f08517f68.jpg,99ad091260bef031fdaddb630f7aeb70911b466bcfe7e5061aa71ab1a64b4117
