id,source,title,label,valid_image_path,text_pred_label,text_correct,mm_pred_label,mm_correct,error_type
gossipcop-921650,gossipcop,Megan Fox gets emotional on Hollywood Medium,real,True,real,True,real,True,both_correct
gossipcop-2502492072,gossipcop,Kylie Jenner: Why She’s Crying Herself To Sleep Over Delivery Room Drama,fake,False,fake,True,fake,True,both_correct
gossipcop-3349415808,gossipcop,8 Juiciest Celebrity Feuds of 2017,fake,True,fake,True,fake,True,both_correct
gossipcop-943749,gossipcop,2018 MTV Movie and TV Awards: Complete List of Winners,real,True,real,True,real,True,both_correct
gossipcop-7661930332,gossipcop,Angela Kardashian Angela Kardashian,fake,False,fake,True,fake,True,both_correct
politifact312,politifact,"Saudi Arabia Energy Data, Statistics and Analysis",real,False,real,True,real,True,both_correct
gossipcop-3012501895,gossipcop,Shia Labeouf Hitting On Dakota Johnson During Movie Shoot?,fake,False,fake,True,fake,True,both_correct
gossipcop-935743,gossipcop,"LISTEN: Christina Aguilera, Demi Lovato Debut 'Fall In Line'",real,False,real,True,real,True,both_correct
gossipcop-893601,gossipcop,Tracee Ellis Ross To Host The 2017 American Music Awards On ABC,real,True,real,True,real,True,both_correct
gossipcop-9666581710,gossipcop,Brad Pitt and Marion Cotillard: Spotted Nearly Kissing!!!!!!,fake,False,fake,True,fake,True,both_correct
gossipcop-904865,gossipcop,The Best Oprah Moments of 2018,real,True,real,True,real,True,both_correct
gossipcop-913467,gossipcop,"Danielle Herrington Photos, Sports Illustrated Swimsuit 2018",real,False,real,True,real,True,both_correct
gossipcop-6857021229,gossipcop,Angelina Jolie,fake,True,fake,True,fake,True,both_correct
politifact14330,politifact,ни чего нового как правильно,fake,False,real,False,real,False,both_wrong
gossipcop-921998,gossipcop,Blake Shelton Reminds Fans That Gwen Stefani Is the “Greatest”,real,True,fake,False,fake,False,both_wrong
gossipcop-896210,gossipcop,Kylie Jenner Chops Off Hair Again Amid Pregnancy Rumors,real,True,fake,False,fake,False,both_wrong
gossipcop-932083,gossipcop,Zoe Saldana Is Praised by ''Partner in Crime'' Mila Kunis at Hollywood Walk of Fame Ceremony,real,False,real,True,real,True,both_correct
gossipcop-1114105172,gossipcop,Brad Pitt is ‘quietly dating’ as he has ‘secret meeting’ with Jennifer Aniston,fake,True,fake,True,fake,True,both_correct
gossipcop-8482372890,gossipcop,Is Brad Pitt’s Body Odor Becoming A Problem For Friends Helping Him Through Angelina Jolie Divorce Aftermath,fake,False,fake,True,fake,True,both_correct
gossipcop-6021814191,gossipcop,How Brad Pitt Emerged From His Split With Angelina Jolie Better Than Ever,fake,True,fake,True,fake,True,both_correct
gossipcop-924937,gossipcop,Inside Amanda Bynes’ Private World: How She’s Staging Her Return to Hollywood,real,False,real,True,real,True,both_correct
politifact15604,politifact,"NASA Will Pay You $100,000 To Stay In Bed For 60 Days!",fake,False,real,False,fake,True,multimodal_only_correct
gossipcop-7476822295,gossipcop,"Matt Lauer made at least $100 million before he got fired — and he bought a horse farm, a waterfront estate, and a co-op in Bernie Madoff's old building",fake,True,real,False,real,False,both_wrong
gossipcop-9852868069,gossipcop,"Donald Trump Jr. Suggests Ron Perlman Knew About Harvey Weinstein’s Sexual Abuse, Calls Him a ‘Coward’ For Being Silent",fake,True,real,False,real,False,both_wrong
politifact512,politifact,Barack Obama’s Remarks in St. Paul,real,False,real,True,real,True,both_correct
gossipcop-5249498116,gossipcop,Tom Cruise,fake,True,fake,True,fake,True,both_correct
gossipcop-895247,gossipcop,Hilary Duff Pregnant With Baby No. 2,real,True,fake,False,fake,False,both_wrong
gossipcop-3447280734,gossipcop,"After everything, Ben Affleck wishes he could win Jennifer Garner back, new report says",fake,True,fake,True,fake,True,both_correct
gossipcop-1982854556,gossipcop,Jason Momoa Adorns the Cover of American Way’s November Issue,fake,False,real,False,real,False,both_wrong
politifact13936,politifact,BREAKING: Autopsy Results From Vince Foster’s Exhumed Body–Cause Of Death To Be Changed,fake,False,fake,True,fake,True,both_correct
gossipcop-861700,gossipcop,Kenya Moore Shares First Photos From Her Super Secret Wedding,real,True,real,True,real,True,both_correct
gossipcop-915124,gossipcop,"Megan Fox Dishes on Balancing Romance, Kids and Designing Lingerie",real,False,fake,False,fake,False,both_wrong
gossipcop-887546,gossipcop,Inside Jessie James Decker's Holidays With Eric Decker and Kids,real,True,real,True,real,True,both_correct
gossipcop-895300,gossipcop,8 Ways You're Probably Using Your Curling Iron Wrong,real,True,real,True,real,True,both_correct
politifact14155,politifact,"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY",fake,False,fake,True,real,False,text_only_correct
gossipcop-347202688,gossipcop,Everything Jennifer Garner Has Said About Ben Affleck Since Their Split,fake,False,fake,True,fake,True,both_correct
gossipcop-840843,gossipcop,Kate Gosselin's Net Worth and Income,real,False,fake,False,fake,False,both_wrong
gossipcop-7371687331,gossipcop,"Jennifer Garner Confronted Lindsay Shookus About Ben Affleck Relationship, Sources Say",fake,True,fake,True,fake,True,both_correct
politifact14769,politifact,American News is under construction,fake,False,real,False,real,False,both_wrong
gossipcop-952021,gossipcop,Travis Barker Survives ‘Really Bad’ Crash with School Bus,real,False,fake,False,fake,False,both_wrong
gossipcop-952733,gossipcop,Katy Perry Suffered From “Situational Depression” Due to Widely Panned Witness Album,real,False,fake,False,fake,False,both_wrong
gossipcop-9533859944,gossipcop,Nicole Kidman wants Keith Urban to join cast of Big Little Lies but he’s not convinced,fake,True,fake,True,fake,True,both_correct
gossipcop-6509869720,gossipcop,Brad Pitt and Jennifer Aniston 'busted' over Aspen reunion,fake,False,fake,True,fake,True,both_correct
gossipcop-9562033469,gossipcop,"Miranda Lambert And Blake Shelton Reportedly Still Hate Each Other, According To ‘OK!’",fake,False,fake,True,fake,True,both_correct
gossipcop-863572,gossipcop,Puppy feeding guidelines,real,False,real,True,real,True,both_correct
gossipcop-7052542773,gossipcop,Katy Perry Rocks Lingerie Look for Date Night With Orlando Bloom,fake,True,real,False,real,False,both_wrong
gossipcop-5266288087,gossipcop,Selena Gomez Vogue Cover Story: See Interview Highlights!,fake,False,fake,True,fake,True,both_correct
gossipcop-6739681229,gossipcop,Selena Gomez Gets Matching Tattoos With Friends,fake,False,fake,True,fake,True,both_correct
gossipcop-795008,gossipcop,JonBenét Ramsey: the brutal child murder that still haunts America,real,True,real,True,real,True,both_correct
gossipcop-933011,gossipcop,"John Boyega and Letitia Wright are the internet's new favorite couple, but are they a couple?",real,True,real,True,real,True,both_correct
gossipcop-888745,gossipcop,‘Stranger Things’ Season 2 Reviews: What the Critics Are Saying,real,True,real,True,real,True,both_correct
gossipcop-5939824224,gossipcop,"Celebrities slam Trump decision to end DACA as 'callous,' 'disgusting,' and a 'grave mistake'",fake,True,fake,True,fake,True,both_correct
gossipcop-6849558814,gossipcop,List of Women Brad Pitt Has Dated,fake,True,fake,True,fake,True,both_correct
gossipcop-987677530,gossipcop,Morning Mayhem! Kelly ‘Ready To Walk’ After Ryan’s Big ‘Live’ Betrayal,fake,True,fake,True,fake,True,both_correct
gossipcop-1952316280,gossipcop,"Steven Spielberg and Meryl Streep on Trump, News and Why 'The Post' Had to Be Made Now: ""Everyone I Know Is Scared""",fake,True,fake,True,real,False,text_only_correct
gossipcop-848653,gossipcop,Grey's Anatomy Just Set the Wheels in Motion for Another Doctor's Departure,real,False,fake,False,fake,False,both_wrong
gossipcop-8929202488,gossipcop,Scarlett Johansson Laughs At Colin Jost’s “Dirty” Talk?,fake,False,real,False,real,False,both_wrong
gossipcop-5011578652,gossipcop,Watch Jenna Dewan Sizzle In Dance Off With J.Lo In 'World Of Dance' Trailer,fake,True,real,False,real,False,both_wrong
gossipcop-881902,gossipcop,Kellan Lutz Is Engaged to Brittany Gonzales,real,True,real,True,real,True,both_correct
gossipcop-690037397,gossipcop,Desperate Ariel Winter Begging Boyfriend Levi To Get Her Pregnant ‘ASAP’!,fake,True,fake,True,real,False,text_only_correct
gossipcop-5913883000,gossipcop,Reese Witherspoon,fake,True,real,False,real,False,both_wrong
gossipcop-860284,gossipcop,Christina El Moussa Looks Totally Smitten on Dinner Date With New Boyfriend -- See the Pic!,real,False,real,True,real,True,both_correct
gossipcop-882647,gossipcop,DWTS: Jenna Johnson Asked Adam Rippon to Be in Her Wedding,real,True,real,True,real,True,both_correct
gossipcop-7179143698,gossipcop,"‘Big Little Lies’ Season 2: Shailene Woodley, Laura Dern, Zoë Kravitz Set to Return",fake,True,real,False,real,False,both_wrong
gossipcop-5058047358,gossipcop,Shapeshifting,fake,False,real,False,real,False,both_wrong
gossipcop-5822017181,gossipcop,Selena Gomez   Justin Bieber NOT Reconnecting Reconnecting Despite Reports,fake,False,fake,True,fake,True,both_correct
gossipcop-341261813,gossipcop,Katie Holmes Talks Getting in Shape for 'The Doorman',fake,True,fake,True,fake,True,both_correct
gossipcop-880294,gossipcop,Stephen Colbert To Be Jimmy Kimmel’s Guest On Thursday Night,real,False,real,True,real,True,both_correct
gossipcop-845844,gossipcop,Judge Sets Trial Date for Bachelor Alum Chris Soules' Fatal Car Crash Case,real,True,real,True,real,True,both_correct
gossipcop-841930,gossipcop,'It's Stupid!' 'Teen Mom OG' Stars Aren't Happy With Farrah Abraham's Replacement,real,True,real,True,real,True,both_correct
gossipcop-931638,gossipcop,"Inside Ciara's Year of ""Life and Love"": Russell Wilson's Daddy Skills, Her Kids' ""Awesome"" Bond and More",real,True,real,True,real,True,both_correct
gossipcop-8165063873,gossipcop,Miley Cyrus and Liam Hemsworth split for a second time: Reports,fake,True,fake,True,fake,True,both_correct
gossipcop-3528288450,gossipcop,Ellen DeGeneres confronted by waitress over tip?,fake,False,fake,True,fake,True,both_correct
gossipcop-948472,gossipcop,Khloe Kardashian Coos at a Grinning Baby True in Adorable Video,real,False,fake,False,fake,False,both_wrong
gossipcop-904804,gossipcop,Ansel Elgort and Shailene Woodley had a Fault in Our Stars reunion at the Globes,real,True,real,True,real,True,both_correct
gossipcop-7052175110,gossipcop,Charlie Hunnam and Robert Pattinson Barely Spoke on 'The Lost City of Z' Set,fake,True,fake,True,fake,True,both_correct
gossipcop-857666,gossipcop,"Harry Styles calls 14-year-old victim of Manchester bombing, tells her he loves her",real,True,real,True,real,True,both_correct
gossipcop-9808537193,gossipcop,"Kim Kardashian, Kanye West Competing With Beyonce, Jay-Z Over House Size?",fake,True,fake,True,real,False,text_only_correct
gossipcop-912059,gossipcop,Sarah Ferguson: Why she was invited to Prince Harry’s wedding but NOT Prince William’s,real,True,fake,False,real,True,multimodal_only_correct
gossipcop-2205817813,gossipcop,This Is Real Life! Beyoncé and Jay-Z Reveal How They Did The Work and Saved Their Marriage On New Album,fake,True,fake,True,real,False,text_only_correct
gossipcop-1470939687,gossipcop,Are Brad Pitt and Jennifer Lawrence dating?,fake,True,fake,True,fake,True,both_correct
gossipcop-842281,gossipcop,"Fighting the Good Fight, But at What Cost?",real,False,real,True,real,True,both_correct
gossipcop-950426,gossipcop,Kourtney Kardashian Criticized by Mommy Shamers Over Son Reign’s Long Locks: ‘Cut His Hair’,real,True,real,True,real,True,both_correct
gossipcop-4174987776,gossipcop,Miley Cyrus and Liam Hemsworth Are Going to Be More Private After Breakup Rumors,fake,True,fake,True,fake,True,both_correct
gossipcop-887379,gossipcop,Kevin James explains why he killed off ‘Kevin Can Wait’ wife and brought on former TV wife Leah Remini,real,True,real,True,real,True,both_correct
gossipcop-953918,gossipcop,Website tidak ditemukan,real,False,real,True,real,True,both_correct
gossipcop-896908,gossipcop,NBC News Fires Matt Lauer After Complaint Of 'Inappropriate Sexual Behavior',real,True,real,True,real,True,both_correct
gossipcop-945473,gossipcop,"TV Cast Shakeups: Who's Coming and Going From Supergirl, The Walking Dead and More",real,False,real,True,real,True,both_correct
gossipcop-2532233011,gossipcop,Kylie Jenner Receives Flowers From ‘Baby Daddy’ Travis Scott,fake,True,fake,True,fake,True,both_correct
gossipcop-7909120625,gossipcop,L&S: Angelina Jolie plans to marry her mystery British-philanthropist boyfriend?,fake,True,fake,True,fake,True,both_correct
gossipcop-1301068570,gossipcop,Channing Tatum and Jenna Dewan Tatum announce separation,fake,True,real,False,real,False,both_wrong
gossipcop-3780295352,gossipcop,Selena Gomez & Justin Bieber (@jelenanetwork) • Instagram photos and videos,fake,False,fake,True,fake,True,both_correct
gossipcop-8430063090,gossipcop,Are Rihanna & BF Hassan Jameel Talking Marriage & An Ironclad Prenup?,fake,False,fake,True,fake,True,both_correct
gossipcop-914699,gossipcop,Lindsey Vonn Wins Bronze Medal In Downhill At Pyeongchang Winter Olympics,real,True,real,True,real,True,both_correct
gossipcop-5676936066,gossipcop,Brad Pitt and Angelina Jolie 'at odds' over custody of their kids,fake,True,fake,True,fake,True,both_correct
gossipcop-880681,gossipcop,Rachel Bloom Bought Her Gucci Dress for the 2017 Emmy Awards,real,True,real,True,real,True,both_correct
gossipcop-7291449284,gossipcop,"Miley Cyrus Breaks Silence on Rootsy New Music, Fiance Liam Hemsworth & America: 'Unity Is What We Need'",fake,True,fake,True,real,False,text_only_correct
gossipcop-905887,gossipcop,"Headlines: Chris Blue, Davon Fleming, Jordin Sparks Celebrate MLK",real,True,real,True,real,True,both_correct
gossipcop-3696200723,gossipcop,Courteney Cox,fake,True,real,False,real,False,both_wrong
gossipcop-5986375886,gossipcop,Jennifer Aniston Did NOT “Turn To Ex” Gerard Butler Amid “Marriage Meltdown”,fake,False,fake,True,fake,True,both_correct
gossipcop-7997596104,gossipcop,Blake Nation - Blake Shelton Tribute Tickets,fake,False,fake,True,fake,True,both_correct
gossipcop-899949,gossipcop,"Your Complete Guide to Visiting Laurel, Mississippi",real,True,real,True,real,True,both_correct
gossipcop-848561,gossipcop,"Pippa Middleton Spotted With ""Something Blue"" Dress Two Weeks Ahead of the Wedding",real,False,real,True,real,True,both_correct
gossipcop-4514188480,gossipcop,Gossip Behind Prince Harry and Meghan Markle's Wedding Explained,fake,True,fake,True,real,False,text_only_correct
gossipcop-947446,gossipcop,Hugh Grant says he wishes he got married earlier: 'I should have done it before',real,True,real,True,real,True,both_correct
gossipcop-846187,gossipcop,Erika Jayne Goes Full Frontal Nude in NSFW Photo,real,True,real,True,real,True,both_correct
